,FlyFrom,FlyTo,DepartTimeUTC,ArrivalTimeUTC,Price,DataDate
548634,ATL,LGA,2019-09-11 19:30:00,2019-09-11 21:47:00,107,20190706
548647,ATL,LGA,2019-09-10 19:30:00,2019-09-10 21:47:00,107,20190706
548652,ATL,LGA,2019-09-14 21:45:00,2019-09-15 00:03:00,107,20190706
548698,ATL,LGA,2019-09-13 22:30:00,2019-09-14 00:50:00,107,20190706
548707,ATL,LGA,2019-09-11 21:30:00,2019-09-11 23:50:00,107,20190706
548710,ATL,LGA,2019-09-11 22:30:00,2019-09-12 00:50:00,107,20190706
548744,ATL,LGA,2019-09-10 22:30:00,2019-09-11 00:50:00,107,20190706
548764,ATL,LGA,2019-09-14 23:20:00,2019-09-15 01:40:00,107,20190706
548768,ATL,LGA,2019-09-12 23:10:00,2019-09-13 01:30:00,107,20190706
548774,ATL,LGA,2019-09-09 23:10:00,2019-09-10 01:30:00,107,20190706
548779,ATL,LGA,2019-09-13 20:30:00,2019-09-13 22:52:00,107,20190706
548785,ATL,LGA,2019-09-11 20:30:00,2019-09-11 22:52:00,107,20190706
548831,ATL,LGA,2019-09-11 12:55:00,2019-09-11 15:10:00,108,20190706
548832,ATL,LGA,2019-09-10 12:55:00,2019-09-10 15:10:00,108,20190706
548854,ATL,LGA,2019-09-11 19:25:00,2019-09-11 21:42:00,107,20190706
548856,ATL,LGA,2019-09-10 19:25:00,2019-09-10 21:42:00,107,20190706
548865,ATL,LGA,2019-09-12 19:25:00,2019-09-12 21:42:00,107,20190706
548896,ATL,LGA,2019-09-12 00:02:00,2019-09-12 02:20:00,107,20190706
548913,ATL,LGA,2019-09-11 23:10:00,2019-09-12 01:30:00,108,20190706
548914,ATL,LGA,2019-09-10 23:10:00,2019-09-11 01:30:00,108,20190706
548995,ATL,LGA,2019-09-14 15:20:00,2019-09-14 17:30:00,113,20190706
549024,ATL,LGA,2019-09-12 12:55:00,2019-09-12 15:10:00,113,20190706
549027,ATL,LGA,2019-09-13 12:55:00,2019-09-13 15:10:00,113,20190706
549056,ATL,LGA,2019-09-14 17:50:00,2019-09-14 20:10:00,113,20190706
549059,ATL,LGA,2019-09-12 19:30:00,2019-09-12 21:50:00,113,20190706
549069,ATL,LGA,2019-09-13 23:10:00,2019-09-14 01:30:00,113,20190706
549070,ATL,LGA,2019-09-13 16:10:00,2019-09-13 18:30:00,113,20190706
549087,ATL,LGA,2019-09-11 16:10:00,2019-09-11 18:30:00,114,20190706
549090,ATL,LGA,2019-09-10 16:10:00,2019-09-10 18:30:00,114,20190706
549434,ATL,LGA,2019-09-12 16:10:00,2019-09-12 18:30:00,127,20190706
549510,ATL,LGA,2019-09-13 13:30:00,2019-09-13 15:40:00,132,20190706
549511,ATL,LGA,2019-09-14 16:00:00,2019-09-14 18:10:00,132,20190706
549516,ATL,LGA,2019-09-13 14:30:00,2019-09-13 16:40:00,133,20190706
549546,ATL,LGA,2019-09-12 15:30:00,2019-09-12 17:43:00,133,20190706
549556,ATL,LGA,2019-09-13 15:30:00,2019-09-13 17:43:00,133,20190706
549583,ATL,LGA,2019-09-13 12:30:00,2019-09-13 14:46:00,133,20190706
549740,ATL,LGA,2019-09-11 00:40:00,2019-09-11 03:00:00,143,20190706
549767,ATL,LGA,2019-09-10 16:57:00,2019-09-10 19:15:00,143,20190706
549772,ATL,LGA,2019-09-11 16:57:00,2019-09-11 19:15:00,143,20190706
549793,ATL,LGA,2019-09-10 13:40:00,2019-09-10 16:00:00,143,20190706
549794,ATL,LGA,2019-09-12 00:40:00,2019-09-12 03:00:00,143,20190706
549795,ATL,LGA,2019-09-11 13:40:00,2019-09-11 16:00:00,143,20190706
